Feature,Importance
RemittanceCount,0.38311067
FCYAccount,0.29764318
MobileBanking,0.2300553
TotalRemittanceUSD,0.06551767
PotentialFCYCustomer,0.0029085572
DigitalCustomer,0.0023641584
Gender,0.0020767036
InternetBanking,0.0019907176
MonthlyIncome,0.0017950234
RelationshipScore,0.0017923611
CustomerValueScore,0.001772121
Region,0.0017595203
Occupation,0.0016733841
Age,0.0016056314
FCYPurchaseUSD,0.0011644623
FCYUtilizationRate,0.0009636113
LastTransactionDays,0.0009473537
AverageTransactionUSD,0.00085967424
Branch,0.0
ETBAccount,0.0
HighIncome,0.0
AgeGroup,0.0
ExistingProducts,0.0
FrequentRemittance,0.0
ActiveCustomer,0.0
HighRemittance,0.0
MonthlyRemittanceAverage,0.0
